,0
0,Alabama
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Indiana
6,Iowa
7,Kentucky
8,Louisiana
9,Maine
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Nebraska
17,Nevada
18,New Hampshire
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Utah
29,Vermont
30,Virginia
31,West Virginia
32,Wisconsin
33,Wyoming
